key,summary,assignee,priority,status,last_updated,url
SERVER-91926,[ShardingRecoveryService] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2025-03-19,https://jira.mongodb.org/browse/SERVER-91926
SERVER-91925,[ShardingInitializationMongoD] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2025-03-19,https://jira.mongodb.org/browse/SERVER-91925
SERVER-91837,FCV upgrade cleanup can race with other operations,Unassigned,Major - P3,Blocked,2025-12-24,https://jira.mongodb.org/browse/SERVER-91837
SERVER-91823,Push down more stages to shards in sharded $search,Unassigned,Major - P3,Blocked,2024-10-21,https://jira.mongodb.org/browse/SERVER-91823
SERVER-91708,Resharding should consider queued index builds waiting for active number of index builds to be below the threshold,Unassigned,Major - P3,Blocked,2025-10-16,https://jira.mongodb.org/browse/SERVER-91708
SERVER-91674,[Cluster Server Parameters] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2025-03-28,https://jira.mongodb.org/browse/SERVER-91674
SERVER-91505,[Catalog] Adopt the improved repl interfaces to keep in-memory states in sync with data,Unassigned,Major - P3,Blocked,2025-05-22,https://jira.mongodb.org/browse/SERVER-91505
SERVER-91429,Setting an end position on a positioned cursor requires a re-seek,Wei Hu,Major - P3,Blocked,2024-06-24,https://jira.mongodb.org/browse/SERVER-91429
SERVER-91290,Use object rather than object_owned in GenericArguments,Unassigned,Major - P3,Blocked,2024-09-30,https://jira.mongodb.org/browse/SERVER-91290
SERVER-91002,Remove System.JS functionality,Unassigned,Major - P3,Blocked,2025-07-22,https://jira.mongodb.org/browse/SERVER-91002
SERVER-90897,Replace CollectionRouter with DbPrimaryRouter in cluster::createCollectionWithRouterLoop,Unassigned,Major - P3,Blocked,2024-05-31,https://jira.mongodb.org/browse/SERVER-90897
SERVER-90800,Remove the usage of UninterruptibleLockGuard in MultiIndexBlock,Unassigned,Major - P3,Blocked,2025-11-24,https://jira.mongodb.org/browse/SERVER-90800
SERVER-90796,Add testing for toggling pauseMigrationsDuringMultiUpdates while writes are ongoing,Brett Nawrocki,Major - P3,Blocked,2025-10-27,https://jira.mongodb.org/browse/SERVER-90796
SERVER-90548,add bugprone-reserved-identifier to clang-tidy,Unassigned,Major - P3,Blocked,2024-06-10,https://jira.mongodb.org/browse/SERVER-90548
SERVER-89903,Add diagrams to execution README,Unassigned,Major - P3,Blocked,2024-04-30,https://jira.mongodb.org/browse/SERVER-89903
SERVER-89776,Remove Feature Flag for PM-3760,Unassigned,Major - P3,Blocked,2024-09-13,https://jira.mongodb.org/browse/SERVER-89776
SERVER-89619,Avoid serving stale data with primary read preference + majority read concern on old primary during an unplanned election,Unassigned,Major - P3,Blocked,2025-10-31,https://jira.mongodb.org/browse/SERVER-89619
SERVER-89549,Consolidate the catalog's architecture guide,Unassigned,Major - P3,Blocked,2024-04-18,https://jira.mongodb.org/browse/SERVER-89549
SERVER-89335,Track the number of queries ended due to timeout in query stats,Unassigned,Major - P3,Blocked,2024-04-12,https://jira.mongodb.org/browse/SERVER-89335
SERVER-89272,Investigate why the config.shards insert on initial sync node in config shard doesn't have commit timestamp,Unassigned,Major - P3,Blocked,2025-05-22,https://jira.mongodb.org/browse/SERVER-89272
SERVER-89053,Enable query stats metrics assertions for explain queries in sharded tests,Unassigned,Minor - P4,Blocked,2024-04-26,https://jira.mongodb.org/browse/SERVER-89053
SERVER-89046,Consider fuzzing WT stress parameters,Unassigned,Major - P3,Blocked,2025-02-10,https://jira.mongodb.org/browse/SERVER-89046
SERVER-88505,FTDC should enable collection depending on the init stages,Unassigned,Major - P3,Blocked,2025-04-02,https://jira.mongodb.org/browse/SERVER-88505
SERVER-88476,Re-introduce UUID inconsistency tassert,Unassigned,Major - P3,Blocked,2025-06-19,https://jira.mongodb.org/browse/SERVER-88476
SERVER-88268,Add router ServerStatus collector to FTDC MongoD,Unassigned,Major - P3,Blocked,2024-11-15,https://jira.mongodb.org/browse/SERVER-88268
SERVER-88182,Run and debug GlobalUserWriteBlockState tests on a build variant that uses invisible sharding,Unassigned,Major - P3,Blocked,2024-10-10,https://jira.mongodb.org/browse/SERVER-88182
SERVER-87967,Fix query plan tests when migrations are active,Unassigned,Major - P3,Blocked,2024-09-13,https://jira.mongodb.org/browse/SERVER-87967
SERVER-87722,Run magic restore passthrough suites in shards act as routers variants,[DO NOT USE] Backlog - Replication Team,Major - P3,Blocked,2024-12-14,https://jira.mongodb.org/browse/SERVER-87722
