key,summary,assignee,priority,status,last_updated,url
KAFKA-15801,improve Kafka broker/NetworkClient logging for connectivity issues with hostname,johndoe,Trivial,In Progress,2025-01-03,https://issues.apache.org/jira/browse/KAFKA-15801
KAFKA-15777,Configurable remote fetch bytes per partition from Consumer,Kamal Chandraprakash,Major,In Progress,2025-05-07,https://issues.apache.org/jira/browse/KAFKA-15777
KAFKA-15715,KRaft support in UpdateFeaturesTest,Walter Hernandez,Minor,In Progress,2024-04-22,https://issues.apache.org/jira/browse/KAFKA-15715
KAFKA-15712,KRaft support in MultipleListenersWithSameSecurityProtocolBaseTest,Sushant Mahajan,Minor,In Progress,2025-01-14,https://issues.apache.org/jira/browse/KAFKA-15712
KAFKA-15599,Move classes in kafka.raft from core module to raft module,Mickael Maison,Major,In Progress,2026-01-30,https://issues.apache.org/jira/browse/KAFKA-15599
KAFKA-15494,Remove deprecated calls in build.gradle for preparing future upgrades,Said BOUDJELDA,Major,In Progress,2024-10-22,https://issues.apache.org/jira/browse/KAFKA-15494
KAFKA-15468,Prevent transaction coordinator reloads on already loaded leaders,Justine Olshan,Major,In Progress,2024-08-09,https://issues.apache.org/jira/browse/KAFKA-15468
KAFKA-15343,Fix MirrorConnectIntegrationTests causing ci build failures.,Greg Harris,Major,In Progress,2024-02-14,https://issues.apache.org/jira/browse/KAFKA-15343
KAFKA-15331,Handle remote log enabled topic deletion when leader is not available,ally heev,Major,In Progress,2025-07-14,https://issues.apache.org/jira/browse/KAFKA-15331
KAFKA-15198,Improve version release scripts,Unassigned,Major,In Progress,2024-09-05,https://issues.apache.org/jira/browse/KAFKA-15198
KAFKA-15172,Allow exact mirroring of ACLs between clusters,hudeqi,Major,In Progress,2023-08-15,https://issues.apache.org/jira/browse/KAFKA-15172
KAFKA-15094,Add RemoteIndexCache metrics like misses/evictions/load-failures.,Abhijeet Kumar,Major,In Progress,2025-01-27,https://issues.apache.org/jira/browse/KAFKA-15094
KAFKA-15090,Source tasks are no longer stopped on a separate thread,Chris Egerton,Major,In Progress,2025-01-03,https://issues.apache.org/jira/browse/KAFKA-15090
KAFKA-15086,The unreasonable segment size setting of the internal topics in MM2 may cause th,hudeqi,Major,In Progress,2024-12-31,https://issues.apache.org/jira/browse/KAFKA-15086
KAFKA-15075,MM2 internal checkpoints topic should support multiple partitions,Unassigned,Major,In Progress,2024-08-30,https://issues.apache.org/jira/browse/KAFKA-15075
KAFKA-14941,Document which configuration options are applicable only to processes with broke,Gantigmaa Selenge,Major,In Progress,2024-08-20,https://issues.apache.org/jira/browse/KAFKA-14941
KAFKA-14919,MM2 ForwardingAdmin tests should not conflate admin operations,Anton Liauchuk,Minor,In Progress,2025-02-05,https://issues.apache.org/jira/browse/KAFKA-14919
KAFKA-14854,Refactor inter broker send thread to handle all interbroker requests on one thre,Justine Olshan,Major,In Progress,2025-04-02,https://issues.apache.org/jira/browse/KAFKA-14854
KAFKA-14692,Issues in Zookeeper to KRaft migration docs,David Arthur,Major,In Progress,2025-01-23,https://issues.apache.org/jira/browse/KAFKA-14692
