key,summary,assignee,priority,status,last_updated,url
KAFKA-19633,Kafka Connect connectors sent out zombie records during rebalance,Unassigned,Critical,Open,2025-08-21,https://issues.apache.org/jira/browse/KAFKA-19633
KAFKA-19631,Admin#describeReplicaLogDirs does not handle error correctly,Chang-Yu Huang,Minor,Open,2025-12-24,https://issues.apache.org/jira/browse/KAFKA-19631
KAFKA-19629,Deadlock in Kafka Streams when processing Interactive Queries and state store updates concurrently,Unassigned,Major,Open,2025-08-21,https://issues.apache.org/jira/browse/KAFKA-19629
KAFKA-19628,Support partitionSizeLimitPerResponse for topicId–based describeTopics request,Kuan Po Tseng,Major,Open,2025-08-20,https://issues.apache.org/jira/browse/KAFKA-19628
KAFKA-19627,Remove command-line arguments deprecated to implement KIP-1147,Andrew Schofield,Major,Open,2025-08-20,https://issues.apache.org/jira/browse/KAFKA-19627
KAFKA-19622,Limitations of KRAFT Dual Write Mode for Production Support,Unassigned,Critical,Open,2025-08-30,https://issues.apache.org/jira/browse/KAFKA-19622
KAFKA-19621,Implement cleanup mechanism for obsolete Remote Log Metadata,Lan Ding,Major,Open,2025-08-20,https://issues.apache.org/jira/browse/KAFKA-19621
KAFKA-19612,Remove Redundant Validation in StripedReplicaPlacer,Jialun Peng,Trivial,Open,2025-08-26,https://issues.apache.org/jira/browse/KAFKA-19612
KAFKA-19610,add integration tests for Consumer#currentLag,Bolin Lin,Minor,Open,2025-08-18,https://issues.apache.org/jira/browse/KAFKA-19610
KAFKA-19608,REBOOTSTRAP_REQUIRED leave connections to group coordinator untouched,Unassigned,Major,Open,2026-01-05,https://issues.apache.org/jira/browse/KAFKA-19608
KAFKA-19607,MirrorMaker2 Offset Replication Issue,Unassigned,Minor,Open,2025-08-18,https://issues.apache.org/jira/browse/KAFKA-19607
KAFKA-19603, Change log.segment.bytes configuration type from int to long to support segments larger than 2GB,Unassigned,Major,Open,2025-08-13,https://issues.apache.org/jira/browse/KAFKA-19603
KAFKA-19602,Kafka Streams join after unmaterialized transformValues on KTable with extra store fails,Unassigned,Minor,Open,2025-08-13,https://issues.apache.org/jira/browse/KAFKA-19602
KAFKA-19601,always disallow min.insync.replicas at the broker level,Jhen-Yung Hsu,Major,Open,2025-09-02,https://issues.apache.org/jira/browse/KAFKA-19601
KAFKA-19600,kraft Add/RemoveVoterHandlers do not check request's timeout,Kevin Wu,Major,Open,2025-08-12,https://issues.apache.org/jira/browse/KAFKA-19600
KAFKA-19587,Unify kraft shutdown logic in poll methods,Kevin Wu,Major,Open,2025-08-23,https://issues.apache.org/jira/browse/KAFKA-19587
KAFKA-19586,Kafka broker freezes and gets fenced during rolling restart with KRaft mode,Unassigned,Blocker,Open,2025-08-17,https://issues.apache.org/jira/browse/KAFKA-19586
KAFKA-19584,Native docker image authentication fails with SASL PLAIN,Gaurav Narula,Minor,Open,2025-08-07,https://issues.apache.org/jira/browse/KAFKA-19584
KAFKA-19583,Native docker image fails to start when using SASL OAUTHBEARER mechanism,Unassigned,Minor,Open,2025-08-06,https://issues.apache.org/jira/browse/KAFKA-19583
KAFKA-19581,Issues running Streams system tests on release candidates,Chia-Ping Tsai,Major,Open,2026-01-21,https://issues.apache.org/jira/browse/KAFKA-19581
KAFKA-19577,Allow to configure custom `ReplicaPlacer` implementation,Ken Huang,Major,Open,2025-08-06,https://issues.apache.org/jira/browse/KAFKA-19577
KAFKA-19575,Revisit gradle/spotbugs-exclude.xml,Chang Chi Hsu,Minor,Open,2025-08-04,https://issues.apache.org/jira/browse/KAFKA-19575
KAFKA-19568,Add disk usage threshold to prevent disk full failure,Unassigned,Major,Open,2025-07-31,https://issues.apache.org/jira/browse/KAFKA-19568
KAFKA-19560,leader of the __consumer_offsets topic is not balanced,Unassigned,Major,Open,2025-07-29,https://issues.apache.org/jira/browse/KAFKA-19560
KAFKA-19557,Remove BrokerNotFoundException,Unassigned,Blocker,Open,2025-11-05,https://issues.apache.org/jira/browse/KAFKA-19557
KAFKA-19556,[Connect] Provide a configuration to disable SNI required and SNI host checking for the REST API,Unassigned,Major,Open,2025-08-15,https://issues.apache.org/jira/browse/KAFKA-19556
KAFKA-19554,Add a Kafka client parameter to limit number of messages fetched,Unassigned,Major,Open,2025-07-29,https://issues.apache.org/jira/browse/KAFKA-19554
KAFKA-19552,Unclean leader election fails due to precedence issue,Unassigned,Critical,Open,2025-07-28,https://issues.apache.org/jira/browse/KAFKA-19552
KAFKA-19549,network_degrade_test.py failure,Unassigned,Major,Open,2025-10-03,https://issues.apache.org/jira/browse/KAFKA-19549
KAFKA-19540,Fix incorrect error message,Ming-Yen Chung,Minor,Open,2026-02-03,https://issues.apache.org/jira/browse/KAFKA-19540
KAFKA-19536,KStream-KStream leftJoin didn't consider gracePeriod for out-of-order records,Unassigned,Major,Open,2025-07-23,https://issues.apache.org/jira/browse/KAFKA-19536
KAFKA-19534,Remove MX4j support,Arnav Dadarya,Major,Open,2025-07-23,https://issues.apache.org/jira/browse/KAFKA-19534
KAFKA-19532,Kafka request metric discrepancies,Unassigned,Minor,Open,2025-08-04,https://issues.apache.org/jira/browse/KAFKA-19532
